Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2018-02-09,"5 RFT: 300 m, Ring Dips, and Box Jumps",740000,true,false,87265,740000,12 mins 20 secs,"","5 rounds of:
Run, 300 m
10 Ring Dips
10 Box Jumps, 30 in"
2018-02-08,Strict Press 5-5-5-5-3-3,1145.32073425,true,false,5015,,"2525 lbs | 60 lbs, 75 lbs, 90 lbs, 115 lbs, 130 lbs, and 145 lbs","","Sets
5 Strict Press | 60 lbs
5 Strict Press | 75 lbs
5 Strict Press | 90 lbs
5 Strict Press | 115 lbs
3 Strict Press | 130 lbs
3 Strict Press | 145 lbs"
2018-02-08,Back Squat 5-5-5-5-3-3,2181.7792997,true,false,15637,,"4810 lbs | 115 lbs, 145 lbs, 175 lbs, 215 lbs, 245 lbs, and 275 lbs","","Sets
5 Back Squats | 115 lbs
5 Back Squats | 145 lbs
5 Back Squats | 175 lbs
5 Back Squats | 215 lbs
3 Back Squats | 245 lbs
3 Back Squats | 275 lbs"
2018-02-08,Nate,11.0,true,false,66112,1200000,11 rounds | 154 reps,"","20:00 AMRAP:
2 Muscle Ups
4 Handstand Push Ups
8 Kettlebell Swings, 2 pood"
2018-02-06,"""FGB Style"" - Dumbbell Snatches, Sit-ups, Walking Lunges, and Burpees",453,true,false,164859,960000,"453 reps | 120, 115, 108, and 110 reps","","4 rounds, 1 min per station:
Dumbbell Snatch, 50 lbs | 26, 23, 22, and 21
Sit-up | 35, 37, 37, and 35
Walking Lunge | 46, 43, 42, and 41
Burpee | 13, 12, 7, and 13"
2018-02-05,Fran,358000,true,false,44220,358000,5 mins 58 secs,"","21-15-9 reps of:
Thruster, 95 lbs
Pull-up"
2018-02-05,Deadlift 5-5-5-5-3-3,2331.4647818,true,false,14950,,"5140 lbs | 135 lbs, 155 lbs, 185 lbs, 220 lbs, 260 lbs, and 295 lbs","","Sets
5 Deadlifts | 135 lbs
5 Deadlifts | 155 lbs
5 Deadlifts | 185 lbs
5 Deadlifts | 220 lbs
3 Deadlifts | 260 lbs
3 Deadlifts | 295 lbs"
2018-02-02,"Chipper: Power Cleans, Dumbbell Thrusters, Power Cleans, and 10 more",1158000,true,false,100294,1158000,19 mins 18 secs,"","2 Power Cleans, 205 lbs
30 Dumbbell Thrusters, 80 lbs
2 Power Cleans, 205 lbs
20 Handstand Push-ups
2 Power Cleans, 205 lbs
30 Toes-to-bars
2 Power Cleans, 205 lbs
50 Wall Balls, 20 lbs
2 Power Cleans, 205 lbs
40 Box Jumps, 24 in
2 Power Cleans, 205 lbs
Row, 400 m
2 Power Cleans, 205 lbs"
2018-02-01,Bench Press 5-5-5-3-3-6,1578.5014476,true,false,6911,,"3480 lbs | 80 lbs, 100 lbs, 120 lbs, 140 lbs, 160 lbs, and 180 lbs","","Sets
5 Bench Press | 80 lbs
5 Bench Press | 100 lbs
5 Bench Press | 120 lbs
3 Bench Press | 140 lbs
3 Bench Press | 160 lbs
6 Bench Press | 180 lbs"
2018-02-01,CrossFit Games Open 17.1,1065000,true,false,170921,1065000,17 mins 45 secs,"","10 Dumbbell Snatches, 50 lbs
15 Burpee Box Jump Overs, 24 in
20 Dumbbell Snatches, 50 lbs
15 Burpee Box Jump Overs, 24 in
30 Dumbbell Snatches, 50 lbs
15 Burpee Box Jump Overs, 24 in
40 Dumbbell Snatches, 50 lbs
15 Burpee Box Jump Overs, 24 in
50 Dumbbell Snatches, 50 lbs
15 Burpee Box Jump Overs, 24 in"
2018-01-30,"AMRAP 20 mins: Air Squats, Pull-ups, and Bumper Plate Burpees",3.533,true,false,93728,1200000,3 rounds + 60 Air Squats + 15 Pull-ups | 390 reps,35lb plate,"20:00 AMRAP:
60 Air Squats
25 Pull-ups
20 Bumper Plate Burpees"
2018-01-29,Back Squat 5-5-5-3-3-6,2279.30165925,true,false,16147,,"5025 lbs | 115 lbs, 145 lbs, 175 lbs, 200 lbs, 230 lbs, and 260 lbs","","Sets
5 Back Squats | 115 lbs
5 Back Squats | 145 lbs
5 Back Squats | 175 lbs
3 Back Squats | 200 lbs
3 Back Squats | 230 lbs
6 Back Squats | 260 lbs"
2018-01-28,Strict Press 5-5-5-3-3-6,1183.8760857,true,false,5183,,"2610 lbs | 60 lbs, 75 lbs, 90 lbs, 105 lbs, 120 lbs, and 135 lbs","","Sets
5 Strict Press | 60 lbs
5 Strict Press | 75 lbs
5 Strict Press | 90 lbs
3 Strict Press | 105 lbs
3 Strict Press | 120 lbs
6 Strict Press | 135 lbs"
2018-01-26,"Chipper: 400 m, Hang Power Cleans, Toes-to-bars, and 19 more",1200000,true,false,79035,1200000,20 mins,"","Run, 400 m
5 Hang Power Cleans, 135 lbs
10 Toes-to-bars
5 Hang Power Cleans, 135 lbs
10 Toes-to-bars
5 Hang Power Cleans, 135 lbs
10 Toes-to-bars
Rest, 4 mins
Run, 400 m
5 Thrusters, 115 lbs
10 Lateral Burpee Over Barbells
5 Thrusters, 115 lbs
10 Lateral Burpee Over Barbells
1 Thruster, 115 lbs
Rest, 4 mins
Run, 400 m
5 Power Snatches, 95 lbs
10 Medicine Ball Sit-ups, 20 lbs
5 Power Snatches, 95 lbs
10 Medicine Ball Sit-ups, 20 lbs
5 Power Snatches, 95 lbs
2 Medicine Ball Sit-ups, 20 lbs"
2018-01-26,Deadlift 5-5-5,1848.38890775,true,false,11068,,"4075 lbs | 235 lbs, 270 lbs, and 310 lbs","","Sets
5 Deadlifts | 235 lbs
5 Deadlifts | 270 lbs
5 Deadlifts | 310 lbs"
2018-01-26,Deadlift 5-5-5,1848.38890775,true,false,11068,,"4075 lbs | 235 lbs, 270 lbs, and 310 lbs","","Sets
5 Deadlifts | 235 lbs
5 Deadlifts | 270 lbs
5 Deadlifts | 310 lbs"
2018-01-25,18.Zero,349000,true,false,0,349000,5 mins 49 secs,"","21-15-9 reps of:
One Arm Alternating Dumbbell Snatch, 50 lbs
Burpee Over Dumbbell"
2018-01-25,Bench Press 5-5-5-5-5-5,1542.214058,true,false,6752,,"3400 lbs | 70 lbs, 90 lbs, 110 lbs, 120 lbs, 135 lbs, and 155 lbs","","Sets
5 Bench Press | 70 lbs
5 Bench Press | 90 lbs
5 Bench Press | 110 lbs
5 Bench Press | 120 lbs
5 Bench Press | 135 lbs
5 Bench Press | 155 lbs"
2018-01-23,"AMRAP 15 mins: 200 m, Strict Pull-ups, and Front Squats",5.333,true,false,66052,900000,5 rounds + 200 m,"","15:00 AMRAP:
Run, 200 m
8 Strict Pull-ups
6 Front Squats, 155 lbs"
2018-01-22,CrossFit Games Open 11.1 / 14.1,4.5,true,false,52965,600000,4 rounds + 30 Double Unders | 210 reps,"","10:00 AMRAP:
30 Double Unders
15 Power Snatches, 75 lbs"
2018-01-22,Back Squat 5-5-5-5-5-5,2392.69975175,true,false,17340,,"5275 lbs | 110 lbs, 140 lbs, 170 lbs, 185 lbs, 210 lbs, and 240 lbs","","Sets
5 Back Squats | 110 lbs
5 Back Squats | 140 lbs
5 Back Squats | 170 lbs
5 Back Squats | 185 lbs
5 Back Squats | 210 lbs
5 Back Squats | 240 lbs"
2018-01-21,Strict Press 5-5-5-5-5-6-12,1832.5131748,true,false,8023,,"4040 lbs | 60 lbs, 75 lbs, 90 lbs, 95 lbs, 110 lbs, 125 lbs, and 95 lbs","","Sets
5 Strict Press | 60 lbs
5 Strict Press | 75 lbs
5 Strict Press | 90 lbs
5 Strict Press | 95 lbs
5 Strict Press | 110 lbs
6 Strict Press | 125 lbs
12 Strict Press | 95 lbs"
2018-01-19,"3 RFT: 800 m, Front Squats, and Toes-to-bars",1142000,true,false,89507,1142000,19 mins 2 secs,"","3 rounds of:
Run, 800 m
7 Front Squats, 185 lbs
20 Toes-to-bars"
2018-01-15,Row 500 m TT,94000,true,false,29215,94000,1 min 34 secs,"","Intervals
Row, 500 m | 1:34"
2018-01-15,Row 1000 m TT,211000,true,false,46387,211000,3 mins 31 secs,"","Intervals
Row, 1000 m | 3:31"
2018-01-15,Back Squat : 1 Rep Max,142.88159655,true,false,831,,315 lbs | 315 lbs,"","Sets
1 Back Squat | 315 lbs"
